"CO_CURSO";"CO_GRUPO";"NU_ANO";"NT_GER";"TP_SEXO";"NU_IDADE";"QE_I02";"QE_I08";"QE_I09";"QE_I10";"QE_I11";"QE_I15";"QE_I23"
1;2;2012;NA;"F";"26";"";"G";"D";"";"A";"A";"B"
2;13;2015;NA;"M";"25";"B";"A";"B";"D";"A";"A";"A"
8;22;2018;57,3;"M";"39";"A";"D";"D";"E";"A";"A";"B"
13;1;2022;36,8;"M";"27";"B";"C";"E";"A";"A";"";"B"
21;22;2012;29,1;"F";"24";"A";"D";"";"";"";"";"A"
122;13;2015;47;"M";"26";"A";"";"B";"A";"A";"A";"D"
128;81;2022;55,5;"F";"22";"A";"E";"C";"A";"A";"A";"C"
145;1;2018;NA;"F";"22";"A";"G";"C";"C";"";"B";"C"
148;2;2012;NA;"F";"23";"C";"E";"C";"E";"";"A";"D"
149;22;2022;NA;"F";"34";"D";"H";"B";"B";"";"A";"B"
155;1;2012;45,9;"M";"22";"D";"";"";"";"";"A";""
165;2;2015;64,7;"M";"32";"C";"E";"F";"D";"A";"A";"E"
167;22;2018;48,4;"M";"21";"A";"B";"";"D";"A";"A";"D"
305;1;2012;NA;"F";"23";"";"";"F";"";"";"A";"B"
306;22;2012;31,3;"M";"26";"C";"";"";"D";"A";"A";"B"
307;13;2015;28,7;"F";"23";"A";"C";"E";"E";"";"A";"B"
308;2;2015;41,4;"F";"26";"D";"D";"F";"";"A";"A";"C"
376;2;2022;14,8;"F";"38";"D";"E";"F";"D";"A";"";"C"
378;13;2018;65,3;"F";"23";"D";"E";"C";"B";"A";"A";"D"
388;22;2015;46,8;"F";"26";"D";"C";"F";"D";"A";"A";""
392;1;2022;44;"M";"22";"D";"C";"E";"E";"A";"A";"D"
395;803;2015;50,9;"M";"22";"D";"D";"B";"E";"A";"";"B"
490;22;2018;57,7;"M";"43";"B";"C";"C";"A";"A";"D";"C"
491;2;2015;50,5;"M";"22";"";"F";"F";"E";"A";"A";"C"
492;13;2015;44,2;"M";"28";"B";"C";"C";"D";"";"A";"C"
500;1;2018;29,3;"F";"21";"A";"B";"B";"A";"A";"D";"A"
501;22;2022;27,9;"M";"23";"B";"A";"D";"E";"";"D";"B"
502;13;2018;39,1;"F";"22";"C";"C";"B";"D";"A";"A";""
596;2;2022;66,5;"M";"36";"B";"B";"";"C";"A";"A";"A"
683;1;2018;68,4;"F";"23";"D";"F";"B";"C";"A";"A";"C"
686;13;2022;66,5;"F";"26";"A";"B";"B";"A";"A";"E";"B"
705;2;2022;57,4;"M";"23";"F";"C";"A";"A";"A";"A";"B"
764;2;2022;47,5;"F";"23";"A";"C";"C";"E";"A";"A";"D"
765;13;2018;33,3;"F";"24";"C";"E";"C";"D";"A";"D";""
766;1;2015;NA;"F";"28";"A";"";"C";"A";"A";"D";"B"
767;22;2018;63,3;"M";"26";"A";"B";"C";"E";"A";"A";"B"
773;18;2015;72,5;"F";"23";"A";"E";"A";"A";"A";"D";"B"
781;67;2022;36,7;"F";"22";"B";"C";"D";"E";"A";"A";"B"
856;67;2012;45,9;"F";"21";"A";"G";"A";"D";"";"A";"A"
857;2;2022;41,6;"M";"29";"F";"";"C";"D";"";"A";"D"
866;18;2015;51,6;"F";"22";"A";"E";"C";"A";"B";"A";""
877;1;2012;31,4;"M";"26";"A";"E";"E";"E";"";"A";"C"
879;2;2012;36,5;"M";"25";"";"";"D";"A";"";"A";""
882;22;2012;39,6;"M";"22";"A";"D";"D";"A";"A";"A";"B"
952;18;2022;50,7;"F";"22";"D";"B";"B";"A";"";"A";"C"
958;13;2015;26,5;"M";"22";"B";"B";"B";"";"";"A";"C"
959;22;2012;NA;"F";"22";"C";"C";"A";"D";"C";"";"B"
960;1;2018;63,6;"M";"39";"C";"G";"";"E";"";"A";"B"
963;2;2022;37,5;"M";"23";"B";"G";"C";"D";"B";"A";"C"
1027;13;2012;49,8;"F";"23";"A";"E";"";"A";"A";"D";"C"
1028;1;2015;69;"F";"27";"A";"E";"C";"E";"A";"A";"B"
1041;22;2018;27,2;"F";"23";"D";"";"E";"E";"";"A";"A"
1101;2;2018;20,9;"F";"27";"A";"E";"";"D";"";"A";"C"
1103;22;2015;41,8;"F";"27";"";"E";"B";"E";"";"A";"C"
1104;13;2012;30;"M";"28";"A";"G";"C";"E";"";"A";""
1111;67;2015;26,6;"F";"31";"";"C";"B";"E";"";"A";"B"
1113;2;2018;42,4;"M";"22";"A";"E";"C";"";"";"A";"C"
1120;13;2012;NA;"F";"23";"A";"C";"B";"";"";"A";"B"
1121;22;2022;44;"F";"23";"A";"D";"D";"E";"B";"A";"B"
1124;2;2015;37,1;"F";"31";"A";"C";"E";"A";"B";"A";"B"
1130;29;2012;49,8;"M";"45";"";"";"A";"";"";"";""
1230;2;2018;46,6;"F";"32";"A";"";"B";"A";"F";"A";"B"
1232;13;2012;30;"M";"24";"A";"F";"F";"D";"D";"A";"B"
1233;22;2015;NA;"F";"30";"A";"";"C";"E";"";"E";"C"
1312;1;2012;33,7;"M";"26";"A";"";"C";"D";"";"";""
1313;22;2012;NA;"M";"22";"A";"C";"C";"A";"I";"";"A"
1314;13;2015;39,9;"F";"32";"A";"";"D";"C";"F";"A";""
1315;2;2012;37,4;"F";"23";"A";"B";"F";"D";"";"A";"A"
1327;18;2012;48,5;"F";"36";"D";"A";"B";"E";"B";"C";"C"
1359;2;2012;NA;"F";"21";"A";"B";"";"E";"";"A";"C"
1363;1;2012;29,2;"F";"22";"A";"G";"C";"";"A";"A";"A"
1364;22;2012;NA;"M";"25";"A";"";"";"E";"";"A";""
1369;18;2012;58,9;"F";"27";"A";"G";"A";"A";"A";"A";"C"
1431;13;2015;49,9;"M";"26";"C";"C";"C";"A";"A";"A";"D"
1436;2;2018;NA;"F";"26";"D";"D";"E";"E";"A";"A";"C"
1442;1;2015;62,7;"F";"24";"A";"F";"C";"E";"A";"A";"A"
1443;22;2022;37,4;"M";"22";"A";"F";"C";"E";"";"D";"B"
1516;18;2015;38,2;"F";"49";"A";"D";"E";"A";"E";"A";"B"
1517;1;2018;33,4;"M";"27";"A";"F";"";"D";"";"A";"C"
1522;13;2012;NA;"M";"38";"";"";"";"A";"";"";""
1523;22;2012;20,5;"F";"31";"C";"E";"C";"";"";"A";"D"
1531;2;2012;57,3;"F";"24";"A";"D";"C";"A";"B";"A";"B"
1626;29;2018;NA;"F";"31";"A";"C";"B";"";"";"";"C"
1642;2;2022;15,2;"M";"58";"A";"F";"C";"";"B";"A";"C"
1652;13;2012;31,4;"F";"28";"A";"A";"C";"D";"";"";"A"
1653;22;2022;NA;"F";"23";"A";"E";"A";"D";"A";"";"B"
1654;1;2018;38,4;"M";"25";"A";"F";"B";"E";"";"A";""
1729;1;2015;54,5;"F";"23";"";"D";"A";"";"";"A";"B"
1734;22;2022;17,8;"M";"22";"A";"C";"B";"E";"B";"A";"B"
1735;13;2012;42,1;"M";"21";"A";"C";"C";"E";"B";"A";"B"
1736;2;2012;NA;"M";"22";"A";"";"E";"A";"E";"A";"C"
1752;1;2015;40,7;"F";"25";"A";"C";"E";"E";"";"";"B"
1753;22;2012;37,5;"F";"34";"A";"E";"E";"E";"D";"A";"B"
1757;22;2015;17;"F";"22";"A";"A";"C";"E";"F";"A";"B"
1762;22;2015;39,2;"F";"40";"A";"B";"E";"D";"D";"A";"A"
1767;1;2012;NA;"M";"26";"A";"C";"B";"E";"B";"C";"B"
1770;1;2012;17,6;"M";"23";"A";"A";"E";"E";"F";"A";"B"
1772;22;2022;33,6;"M";"21";"A";"D";"B";"";"D";"A";"B"
1773;1;2012;NA;"M";"25";"A";"C";"C";"E";"";"A";"C"
1774;1;2018;32,8;"F";"23";"A";"B";"C";"E";"B";"C";"B"
1878;29;2012;25,4;"F";"23";"A";"C";"B";"E";"H";"A";"C"
1888;2;2015;42,9;"M";"22";"A";"G";"C";"A";"C";"A";"C"
1889;1;2015;22,7;"M";"28";"";"F";"C";"A";"B";"";""
1890;13;2012;NA;"F";"26";"";"G";"C";"A";"B";"C";"C"
1891;22;2012;24,4;"F";"32";"";"";"";"A";"";"";""
1900;1;2012;26,2;"F";"24";"A";"F";"B";"A";"";"A";"B"
1903;18;2022;53,6;"F";"23";"A";"E";"B";"A";"C";"A";"B"
1919;2;2012;62,8;"M";"22";"A";"F";"B";"E";"C";"A";"A"
2011;13;2012;38,3;"M";"23";"";"E";"B";"D";"B";"";"C"
2012;22;2012;31,9;"M";"31";"A";"E";"C";"E";"H";"A";"B"
2015;2;2018;25,7;"F";"23";"A";"F";"C";"E";"H";"A";"C"
2019;26;2015;65;"M";"23";"A";"E";"B";"D";"";"A";"A"
2030;804;2012;NA;"M";"22";"A";"E";"D";"E";"H";"A";"B"
2081;1;2012;13,8;"M";"29";"A";"D";"C";"E";"";"A";""
2082;22;2018;55,4;"F";"34";"A";"E";"C";"";"B";"A";"A"
2104;1;2012;48,5;"M";"26";"C";"C";"B";"E";"";"A";"B"
2106;2;2022;36,2;"M";"22";"A";"C";"C";"E";"";"A";"D"
2111;13;2022;37;"F";"21";"C";"C";"C";"A";"A";"A";"B"
2139;1;2022;54,4;"F";"23";"D";"B";"";"E";"E";"A";"B"
2140;22;2018;30;"F";"21";"A";"C";"C";"E";"I";"A";"C"
2174;18;2022;51,3;"M";"24";"A";"F";"B";"D";"A";"A";"B"
2198;22;2018;NA;"M";"36";"";"";"D";"C";"A";"A";"B"
2290;18;2022;38,9;"M";"40";"A";"D";"A";"A";"";"A";"B"
2299;2;2015;NA;"F";"29";"A";"D";"B";"A";"E";"A";"C"
2305;1;2012;31,9;"M";"26";"";"C";"E";"E";"";"A";"B"
